"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SIROHI","0%","0%","100%","86.41454309365363%","13.406914461937998%","0.17854244440837527%","43.72771474878444%","55.47811993517018%","0.7941653160453809%","1.8494484101232966%","34.36080467229072%","63.78974691758598%","2.564518746956663%","97.43548125304333%","0.11395083835259645%","97.68842585056161%","2.197623311085789%"
"PRATAPGARH","0%","0%","0%","77.51937984496124%","22.405601400350086%","0.07501875468867217%","56.139034758689675%","42.26056514128532%","1.6004001000250063%","1.5003750937734435%","33.833458364591145%","64.6661665416354%","12.253063265816454%","87.74693673418355%","0%","99.97499374843711%","0.025006251562890724%"
"SAWAI MADHOPUR","0%","0%","0%","99.96387935705256%","0.036120642947444465%","0%","32.219613509120464%","67.78038649087954%","0%","0.018060321473722232%","0%","99.98193967852627%","30.558063933538016%","69.44193606646198%","0%","95.46685931009571%","4.53314068990428%"
"JHALAWAR","0%","0%","100%","89.51730154114568%","10.453620238441408%","0.02907822041291073%","98.2698458854318%","1.468450130851992%","0.2617039837161966%","1.7025611175785798%","34.77881257275902%","63.518626309662395%","0.014549687181725593%","99.98545031281827%","0%","99.970875200233%","0.0291247997670016%"
"Kotputli-Behror","0%","0%","100%","95.62133826703669%","4.316990440949738%","0.061671292013567684%","14.21911421911422%","85.73426573426573%","0.046620046620046623%","0.1234949058351343%","1.2040753318925594%","98.6724297622723%","9.172328597899938%","90.82767140210007%","0.21705426356589147%","90.48062015503876%","9.30232558139535%"
"Phalodi","0%","0%","0%","89.20595533498759%","10.3287841191067%","0.4652605459057072%","18.07751937984496%","81.86046511627907%","0.06201550387596899%","0.09308098045299411%","0.06205398696866274%","99.84486503257834%","2.951227089158124%","97.04877291084188%","0.03109452736318408%","46.4863184079602%","53.482587064676615%"
"GANGANAGAR","0%","0%","100%","47.49414897909773%","51.400209829715116%","1.105641191187152%","93.76914396259875%","5.811704014186684%","0.41915202321457357%","0.29018216991778173%","0%","99.70981783008222%","21.678490809416317%","78.32150919058368%","0%","98.38774687625957%","1.6122531237404272%"
"Gangapurcity","0%","0%","0%","42.48455730954015%","57.51544269045985%","0%","50.343170899107754%","49.62251201098147%","0.03431708991077557%","0.03431708991077557%","0%","99.96568291008923%","8.236101578586135%","91.76389842141387%","0%","100%","0%"
"Dudu","0%","0%","100%","20.933734939759034%","78.48895582329317%","0.5773092369477911%","89.48293172690764%","10.51706827309237%","0%","0.6275100401606426%","3.8403614457831323%","95.53212851405623%","8.634538152610443%","91.36546184738955%","0.025100401606425703%","97.99196787148594%","1.9829317269076305%"
"Shahpura","0%","0%","0%","46.49155722326454%","42.77673545966229%","10.731707317073171%","99.69981238273921%","0.225140712945591%","0.075046904315197%","25.497559143822755%","23.732632369508075%","50.76980848666917%","17.90146671681083%","82.09853328318917%","0%","88.38782412626831%","11.61217587373168%"
"BARMER","0%","0%","100%","99.53560371517028%","0.33539731682146545%","0.12899896800825594%","7.225806451612903%","92.0516129032258%","0.7225806451612903%","0.2323180175529169%","0.12906556530717606%","99.6386164171399%","3.029525032092426%","96.97047496790758%","0.0513347022587269%","85.80595482546201%","14.14271047227926%"
"Deeg","0.4687181577338496%","0.04075810067250866%","99.49052374159365%","73.41875127110026%","26.438885499288183%","0.14236322961155176%","15.16751269035533%","82.80203045685279%","2.030456852791878%","0.02040816326530612%","0.02040816326530612%","99.95918367346938%","7.517875383043922%","92.48212461695607%","0.04096681687832855%","99.7132322818517%","0.2458009012699713%"
"Khairthal-Tijara","0%","0%","100%","84.41281138790036%","15.587188612099645%","0%","11.293195582472391%","88.56430352689705%","0.14250089063056645%","0.03534817956875221%","0.9897490279250618%","98.97490279250619%","0.9900990099009901%","99.00990099009901%","0.07072135785007072%","86.84582743988685%","13.083451202263083%"
"Balotra","0%","0%","0%","46.658851113716295%","49.15982805783509%","4.181320828448612%","67.91715513872606%","32.082844861273934%","0%","0%","0%","100%","0.46893317702227433%","99.53106682297772%","0%","3.4779210629152013%","96.5220789370848%"
"Didwana Kuchaman","0%","0%","0%","87.43333333333334%","12.566666666666666%","0%","44.93333333333333%","55.06666666666667%","0%","8.733333333333333%","27.366666666666667%","63.9%","17.466666666666665%","82.53333333333333%","0%","90%","10%"
"Kekri","0%","0%","0%","71.2534059945504%","28.678474114441418%","0.0681198910081744%","56.26702997275204%","43.664850136239785%","0.0681198910081744%","0%","1.2942779291553133%","98.70572207084469%","10.490463215258856%","89.50953678474114%","0%","70.50408719346049%","29.49591280653951%"
"Sanchor","0%","0%","0%","82.25963884821864%","17.569546120058565%","0.1708150317227916%","28.613209846453813%","69.51011455032902%","1.876675603217158%","2.388496222276383%","24.104313916646355%","73.50718986107726%","2.6322203265903%","97.3677796734097%","0%","67.41408725322934%","32.58591274677065%"
"Anoopgarh","0%","0%","0%","55.99700149925037%","43.96551724137931%","0.037481259370314844%","99.88764044943821%","0%","0.11235955056179775%","0%","0%","100%","19.662921348314608%","80.33707865168539%","0%","100%","0%"
