"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"Soreng","0.6188118811881188%","59.45094509450945%","39.93024302430243%","80.9940536295299%","17.53618310333221%","1.4697632671378884%","26.57859381997313%","57.85938199731303%","15.562024182713838%","28.631221719457013%","40.99547511312217%","30.373303167420815%","1.1534025374855825%","98.84659746251442%","86.68807994289793%","13.204853675945753%","0.10706638115631692%"
"Namchi","0.09717062017719348%","48.2652186338954%","51.63761074592741%","78.96993254830228%","16.016920086886934%","5.013147364810792%","68.1335009715396%","27.368842153388957%","4.497656875071437%","95.40932997941917%","3.041390349874228%","1.5492796707066088%","0.6747483989021043%","99.32525160109789%","42.91194320393908%","56.904843696324285%","0.18321309973663116%"
"Gyalshing","1.3844612441934603%","76.44594225339284%","22.1695965024137%","49.54036588695731%","50.17748247929371%","0.28215163374897606%","3.3478893740902476%","78.91193595342067%","17.740174672489083%","91.4971261746191%","7.353343673022534%","1.1495301523583614%","0.2924511058307439%","99.70754889416925%","29.706422018348626%","70.25688073394495%","0.03669724770642202%"
"Gangtok","9.303977272727273%","72.79829545454545%","17.897727272727273%","75.4935571580565%","24.352760373566614%","0.1536824683768767%","18.52201629087475%","80.69885491677488%","0.7791287923503718%","29.719161038037683%","53.489749970375634%","16.79108899158668%","0.059396531242575434%","99.94060346875743%","52.28797316722568%","47.628174413033065%","0.08385241974125539%"
"Mangan","0.060410793395086586%","72.0700765203383%","27.869512686266614%","80.3420523138833%","19.336016096579478%","0.32193158953722334%","7.254823151125402%","90.27331189710611%","2.4718649517684885%","20.129607128392063%","44.349939246658565%","35.520453624949376%","16.13691931540342%","83.86308068459658%","23.832064210742953%","76.16793578925704%","0%"
"Pakyong","11.878081577767817%","75.07844016136262%","13.043478260869565%","72.88571109373254%","26.913194056529996%","0.2010948497374595%","17.913276111916176%","79.41143685207892%","2.675287036004905%","31.052335396736073%","40.33764772087788%","28.610016882386045%","0.1473922902494331%","99.85260770975057%","38.017479300827965%","61.93652253909843%","0.045998160073597055%"
