"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SOLAPUR","0.12379155859467107%","1.786135345437397%","98.09007309596794%","4.9504950495049505%","43.07520037718057%","51.97430457331448%","68.7720952156493%","25.441904312986093%","5.7860004713646%","11.26320136881232%","29.382264440379963%","59.35453419080772%","0.4840899698919653%","99.51591003010803%","0.09457941715434179%","97.86014068688301%","2.0452798959626413%"
"RATNAGIRI","8.748096966857945%","45.83674903384471%","45.41515399929734%","45.57910762384354%","37.84986532380841%","16.57102705234805%","72.678299566694%","22.68415505328493%","4.63754538002108%","95.74891673498068%","2.5647031268298397%","1.6863801381894836%","0.023421946363742827%","99.97657805363626%","3.5601358472889095%","96.3930202599836%","0.04684389272748565%"
"BULDHANA","0.021637996321540624%","1.974467164340582%","98.00389483933787%","3.7802174030609486%","53.074468660429396%","43.14531393650965%","95.54918609053053%","4.1912281650532694%","0.25958574441620247%","11.494563747498242%","17.688105154973766%","70.817331097528%","0%","100%","0.021639166892074655%","99.421152285637%","0.5572085474709224%"
"KOLHAPUR","2.4580809410938462%","37.76665788780616%","59.77526117109999%","90.25546484066368%","9.01588973751207%","0.7286454218242472%","48.90254609306409%","44.21422300263389%","6.883230904302019%","65.46396277763147%","20.261610043016418%","14.27442717935212%","0.5969625142656483%","99.40303748573434%","27.67974716881749%","72.18856992362392%","0.1316829075585989%"
"THANE","0.6926952141057935%","9.981108312342569%","89.32619647355163%","58.692000839806845%","20.680243543984883%","20.627755616208272%","47.32311568339282%","38.662607600251945%","14.014276716355239%","66.48813274522159%","15.637471119512707%","17.8743961352657%","0%","100%","0.06297229219143577%","99.93702770780857%","0%"
"BEED","1.2072008471584892%","34.49346981997882%","64.29932933286268%","16.21964991530209%","75.36702428006775%","8.413325804630153%","54.73921942268332%","41.555508504481615%","3.7052720728350623%","15.1926475786497%","44.29126899964652%","40.51608342170378%","0.09896091044037605%","99.90103908955962%","2.7158922130277956%","89.40519131480303%","7.878916472169178%"
"BHANDARA","0.07548309178743962%","4.242149758454106%","95.68236714975845%","1.879670868875972%","42.560579753906545%","55.559749377217486%","75.48309178743962%","23.369565217391305%","1.1473429951690821%","20.1237922705314%","27.4381038647343%","52.4381038647343%","0.007548309178743961%","99.99245169082126%","4.2647946859903385%","95.71256038647343%","0.022644927536231884%"
"JALNA","0.006666666666666667%","6.366666666666666%","93.62666666666667%","9.133333333333333%","63.13333333333333%","27.733333333333334%","96.1%","3.8666666666666667%","0.03333333333333333%","1.3468462461661554%","21.156154153887186%","77.49699959994666%","0.13333333333333333%","99.86666666666666%","0.013335111348179758%","97.84637951726897%","2.140285371382851%"
"YAVATMAL","0.012725884448969204%","2.0361415118350727%","97.95113260371596%","59.18055732281461%","40.56495737371167%","0.2544853034737244%","44.66921119592875%","54.9236641221374%","0.4071246819338422%","4.568592517179944%","39.195724102825146%","56.23568337999491%","0.050935948045332996%","99.94906405195466%","0%","99.47790653253534%","0.5220934674646632%"
"PALGHAR","0.6109979633401222%","5.668703326544467%","93.72029871011542%","85.4480772488565%","9.639166525495511%","4.912756225647976%","11.052720800135615%","17.68096287506357%","71.26631632480081%","84.82127731661866%","6.251058783669321%","8.92766389971201%","1.3215859030837005%","98.6784140969163%","5.3701507707945115%","93.96916821954939%","0.6606810096561071%"
"GONDIA","0.018397571520559285%","10.27504369423236%","89.70655873424708%","14.762693156732892%","71.21044885945548%","14.026857983811626%","17.980318219442655%","81.96449921824703%","0.05518256231030994%","18.30726770929163%","63.52345906163753%","18.169273229070836%","0.11043622308117063%","99.88956377691883%","0.5798969072164949%","99.39248895434463%","0.027614138438880706%"
