"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"CHHATARPUR","0.15112454440394701%","11.00986754378167%","88.83900791181438%","37.473338073231425%","52.630643441166015%","9.896018485602559%","66.08873477371743%","32.73761892060105%","1.1736463056815152%","19.81769675411294%","20.164517563361493%","60.01778568252557%","0.0801068090787717%","99.91989319092123%","0.08033920999776835%","99.77683552778397%","0.14282526221825487%"
"SHEOPUR","0.32853171594642405%","1.8785275040013478%","97.79294078005223%","11.103628251536325%","75.08207761596094%","13.814294132502736%","18.763146823727386%","80.37021455616323%","0.8666386201093815%","2.419694798077734%","35.7389764775314%","61.84132872439086%","0.1012829169480081%","99.89871708305199%","0.10158300177770253%","99.25505798696352%","0.6433590112587827%"
"NARMADAPURAM","0.016723806338322603%","22.761100426457062%","77.22217576720462%","8.779246778162406%","86.08249572506986%","5.138257496767736%","62.846441947565545%","36.20058260507699%","0.9529754473574699%","1.319882303488861%","51.672971836906264%","47.007145859604876%","0.1483994064023744%","99.85160059359762%","0.20575249689228%","99.70851729606927%","0.08573020703845%"
"SIDHI","0.08439263674244422%","58.2045466533045%","41.71106070995306%","72.90370214112436%","26.08374644024892%","1.012551418626727%","2.6947212993724623%","95.97110161894216%","1.3341770816853873%","11.608273533136344%","64.94301392992824%","23.448712536935417%","0.05281504172388296%","99.94718495827611%","18.222692409415497%","81.74556995503835%","0.03173763554615181%"
"Niwari","0%","27.07070707070707%","72.92929292929293%","57.31030228254164%","41.45589142504627%","1.2338062924120914%","31.042978373939228%","64.57705995072543%","4.379961675335341%","17.46031746031746%","35.440613026819925%","47.09906951286261%","5.322359396433471%","94.67764060356653%","0.6045616927727397%","96.81231107447101%","2.583127232756252%"
"UMARIA","5.2564967937900775%","36.491731353358084%","58.25177185285184%","32.2648671446647%","51.39603542808941%","16.33909742724589%","23.282120547020092%","53.022117170352864%","23.695762282627047%","27.379345258184273%","37.44515693553831%","35.17549780627742%","1.181235234559568%","98.81876476544043%","0.5735976381273724%","99.37579080556728%","0.05061155630535639%"
"BARWANI","0.11099573919581797%","31.85219664148376%","68.03680761932041%","6.655210682705044%","81.29452618766334%","12.050263129631618%","28.828538714755975%","70.48804923429226%","0.6834120509517676%","41.7201218419638%","43.99211610822433%","14.287762049811862%","12.244458790617603%","87.7555412093824%","0.19748653500897667%","99.21364452423698%","0.5888689407540395%"
"ALIRAJPUR","0.04213009774182676%","50.58982136838557%","49.368048533872596%","40.4748873826464%","59.339872858165286%","0.18523975918831306%","5.609561082354921%","93.07747338299036%","1.3129655346547153%","43.84498480243161%","47.53039513677812%","8.624620060790274%","52.83250190242665%","47.16749809757335%","10.691396799796273%","87.80187598149485%","1.5067272187088834%"
"NARSINGHPUR","0.07556821484624775%","2.935534499796547%","96.98889728535721%","52.373206297565794%","31.824783593795388%","15.80201010863882%","62.43610594795539%","34.415659851301115%","3.1482342007434942%","8.627610681249637%","50.99773110710338%","40.37465821164698%","0.08155181452787325%","99.91844818547213%","0.4460879262781006%","99.40130304631097%","0.15260902741092916%"
"DAMOH","0.8397225264695144%","66.77254472435196%","32.38773274917853%","0.18613818022555567%","86.75499105806782%","13.05887076170663%","30.599138874698973%","68.44486608771801%","0.955995037583011%","46.22862154655752%","32.86434731764362%","20.90703113579886%","15.921818381464806%","84.0781816185352%","0.4495467379997028%","99.52444642591767%","0.026006836082627435%"
