"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"Dhalai","0.015153811183512653%","20.912259433247463%","79.07258675556902%","72.68336854814368%","27.060066405070934%","0.2565650467853909%","0.06032272658724174%","92.11280349871814%","7.826873774694616%","86.4807194025301%","7.895137936290199%","5.6241426611796985%","0.2622647331070657%","99.73773526689294%","99.00411002213089%","0.9168510907366424%","0.07903888713246918%"
"North Tripura","0.051422694549194375%","86.54439492629413%","13.404182379156667%","1.0273972602739727%","98.8013698630137%","0.17123287671232876%","0.13686911890504705%","95.29512403763901%","4.5680068434559455%","74.24995714040803%","24.001371506943254%","1.7486713526487228%","0.13748066678123388%","99.86251933321877%","90.69727304107698%","9.095616154642734%","0.20711080428028997%"
"West Tripura","0.1001001001001001%","44.86486486486486%","55.03503503503504%","7.88%","91.3%","0.82%","0.09994003597841296%","95.70257845292824%","4.197481511093344%","3.6279815594307476%","41.15053116857086%","55.2214872719984%","0%","100%","57.1944611679711%","42.8055388320289%","0%"
"Sepahijala","0.1122334455667789%","30.1010101010101%","69.78675645342312%","16.17317182593091%","83.26603858232392%","0.5607895917451772%","0.04487323311644604%","92.77540946825219%","7.179717298631366%","3.0098831985624437%","17.722371967654986%","79.26774483378257%","0.15737410071942445%","99.84262589928058%","71.41891891891892%","28.58108108108108%","0%"
"Khowai","0.07930214115781126%","38.7258789320645%","61.19481892677769%","6.925720327782184%","92.88924134284959%","0.18503832936822628%","0.10573618821041501%","96.90721649484536%","2.987047316944224%","2.7234267583289267%","37.017451084082495%","60.25912215758858%","0.05291005291005291%","99.94708994708995%","60.264550264550266%","39.735449735449734%","0%"
"Gomati","0%","28.645601542797806%","71.3543984572022%","1.616491176034406%","97.38988580750407%","0.9936230164615156%","0.08895478131949593%","86.27131208302447%","13.63973313565604%","9.801009801009801%","55.12325512325512%","35.075735075735075%","3.614995537042547%","96.38500446295745%","96.32451815329449%","3.6754818467055133%","0%"
"South Tripura","0.06975933031042902%","31.2521799790722%","68.67806069061737%","18.86989884897105%","80.71154516916637%","0.41855598186257414%","0.03487966515521451%","93.96581792814789%","5.999302406696896%","3.456703910614525%","28.10754189944134%","68.43575418994413%","0.06978367062107467%","99.93021632937892%","79.90915443745632%","20.090845562543677%","0%"
"Unakoti","0%","96.75925925925925%","3.240740740740741%","0.7716049382716049%","97.60802469135803%","1.6203703703703705%","0.7710100231303006%","94.75713184271396%","4.471858134155744%","90.88803088803088%","8.416988416988417%","0.694980694980695%","0.3861003861003861%","99.61389961389962%","89.01778808971385%","10.982211910286157%","0%"
