"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SOUTH GOA","1.8790496760259179%","75.48596112311016%","22.63498920086393%","17.244589248312778%","16.476611589481035%","66.27879916220618%","29.542511868795856%","35.84376348726802%","34.61372464393612%","85.90575010808473%","7.090358841331604%","7.003891050583658%","6.301429190125596%","93.69857080987441%","60.685615100889564%","39.27099153829464%","0.04339336081579518%"
"NORTH GOA","40.83281541330019%","21.22436295835923%","37.94282162834058%","31.259659969088098%","24.845440494590417%","43.89489953632148%","26.037013401403957%","37.587747287811105%","36.37523931078494%","64.9423496416329%","4.5808663134933%","30.476784044873792%","3.5948733979368552%","96.40512660206315%","69.23560868197546%","30.764391318024536%","0%"
